level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	76	30	961	1697	-1	
3	1	1	1	0	0	76	30	961	1697	-1	
4	1	1	1	1	0	76	30	267	18	-1	
5	1	1	1	1	1	76	30	80	18	90.768311	Copyright
5	1	1	1	1	2	163	30	14	14	92.603821	@
5	1	1	1	1	3	184	31	40	13	91.924149	2025
5	1	1	1	1	4	230	31	29	17	93.054474	Top
5	1	1	1	1	5	266	30	77	18	89.284935	Academy
4	1	1	1	2	0	78	101	175	27	-1	
5	1	1	1	2	1	78	101	23	27	92.572388	出
5	1	1	1	2	2	117	101	32	27	91.903900	現
5	1	1	1	2	3	164	101	18	27	74.456421	次
5	1	1	1	2	4	204	105	4	19	92.462952	數
5	1	1	1	2	5	207	101	46	27	89.953278	:10
4	1	1	1	3	0	914	180	123	14	-1	
5	1	1	1	3	1	914	180	18	14	92.918762	05
5	1	1	1	3	2	940	180	19	14	93.112297	06
5	1	1	1	3	3	966	180	19	14	92.879616	07
5	1	1	1	3	4	992	180	19	14	93.107224	08
5	1	1	1	3	5	1018	180	19	14	92.131050	09
4	1	1	1	4	0	266	195	771	36	-1	
5	1	1	1	4	1	266	197	55	24	91.908401	[art.]
5	1	1	1	4	2	362	195	22	24	95.835518	一
5	1	1	1	4	3	374	191	21	36	93.226997	個
5	1	1	1	4	4	396	212	4	7	84.647987	;
5	1	1	1	4	5	436	196	9	23	91.984772	一
5	1	1	1	4	6	444	196	16	22	96.065628	種
5	1	1	1	4	7	916	217	68	14	75.007942	101112
5	1	1	1	4	8	994	217	16	14	76.163239	13
5	1	1	1	4	9	1020	217	17	14	93.119057	14
4	1	1	1	5	0	914	256	123	14	-1	
5	1	1	1	5	1	910	241	22	39	92.918762	05
5	1	1	1	5	2	941	241	21	39	93.112297	06
5	1	1	1	5	3	968	241	20	39	92.879616	07
5	1	1	1	5	4	995	241	18	39	93.107224	08
5	1	1	1	5	5	1019	241	18	39	92.131050	09
4	1	1	1	6	0	88	269	949	38	-1	
5	1	1	1	6	1	88	270	73	23	91.521133	about
5	1	1	1	6	2	266	272	60	25	81.448074	[adv.]
5	1	1	1	6	3	349	271	28	24	96.058800	在
5	1	1	1	6	4	379	272	35	23	93.248611	附近
5	1	1	1	6	5	426	276	4	19	39.284977	;
5	1	1	1	6	6	442	271	47	24	39.284977	大
5	1	1	1	6	7	473	267	21	36	93.293388	約
5	1	1	1	6	8	502	276	3	19	79.980316	;
5	1	1	1	6	9	531	269	75	36	91.158058	[prep.]
5	1	1	1	6	10	622	271	47	24	96.455360	大
5	1	1	1	6	11	653	267	20	40	86.004707	約
5	1	1	1	6	12	683	276	2	19	86.004707	;
5	1	1	1	6	13	698	271	47	24	96.541130	關於
5	1	1	1	6	14	916	293	94	14	67.845001	10111213
5	1	1	1	6	15	1020	293	17	14	67.845001	14
4	1	1	1	7	0	367	332	670	22	-1	
5	1	1	1	7	1	367	347	7	7	30.168114	;
5	1	1	1	7	2	571	349	3	3	20.775871	;
5	1	1	1	7	3	663	347	24	7	15.558929	轉
5	1	1	1	7	4	914	332	18	14	92.918762	05
5	1	1	1	7	5	940	332	19	14	93.112297	06
5	1	1	1	7	6	966	332	19	14	92.879616	07
5	1	1	1	7	7	992	332	19	14	93.107224	08
5	1	1	1	7	8	1018	332	19	14	92.131050	09
4	1	1	1	8	0	88	346	949	37	-1	
5	1	1	1	8	1	88	346	60	23	91.602760	after
5	1	1	1	8	2	266	348	60	25	87.653648	[adv.]
5	1	1	1	8	3	342	347	48	24	96.903053	以
5	1	1	1	8	4	402	352	3	19	93.078270	後
5	1	1	1	8	5	406	343	13	38	91.017960	;
5	1	1	1	8	6	431	349	75	27	90.114616	[prep.]
5	1	1	1	8	7	518	349	71	27	88.980553	[conj.]
5	1	1	1	8	8	611	347	16	24	93.192665	在
5	1	1	1	8	9	631	357	20	3	0.000000	.''
5	1	1	1	8	10	661	352	26	19	91.475029	之
5	1	1	1	8	11	687	347	16	24	96.915871	後
5	1	1	1	8	12	916	369	94	14	79.862534	10111213
5	1	1	1	8	13	1020	369	17	14	92.143997	14
4	1	1	1	9	0	491	408	546	24	-1	
5	1	1	1	9	1	491	424	22	8	15.508560	全
5	1	1	1	9	2	914	408	18	14	92.918762	05
5	1	1	1	9	3	940	408	19	14	93.112297	06
5	1	1	1	9	4	966	408	19	14	92.879616	07
5	1	1	1	9	5	992	408	19	14	93.107224	08
5	1	1	1	9	6	1018	408	19	14	92.131050	09
4	1	1	1	10	0	84	412	953	47	-1	
5	1	1	1	10	1	84	412	35	41	95.738853	all
5	1	1	1	10	2	266	424	57	28	72.470612	[adj.]
5	1	1	1	10	3	331	423	31	24	80.581200	全
5	1	1	1	10	4	365	425	23	22	93.153435	部
5	1	1	1	10	5	387	419	14	41	90.118935	;
5	1	1	1	10	6	415	424	60	25	83.030609	[adv.]
5	1	1	1	10	7	491	423	72	24	96.662743	完全
5	1	1	1	10	8	551	419	24	41	93.172028	地
5	1	1	1	10	9	575	428	4	19	90.618286	;
5	1	1	1	10	10	605	425	35	24	77.087067	[n.]
5	1	1	1	10	11	656	423	48	24	91.613602	全
5	1	1	1	10	12	687	419	21	41	91.365784	體
5	1	1	1	10	13	916	445	121	14	85.973015	1011121314
4	1	1	1	11	0	914	484	123	14	-1	
5	1	1	1	11	1	910	469	22	39	92.918762	05
5	1	1	1	11	2	941	469	21	39	93.112297	06
5	1	1	1	11	3	968	469	20	39	92.879616	07
5	1	1	1	11	4	995	469	18	39	93.107224	08
5	1	1	1	11	5	1019	469	18	39	92.131050	09
4	1	1	1	12	0	88	498	949	37	-1	
5	1	1	1	12	1	88	498	51	23	92.608200	also
5	1	1	1	12	2	266	500	60	25	40.148193	[adv.]
5	1	1	1	12	3	342	499	22	23	95.867096	th
5	1	1	1	12	4	916	521	121	14	85.973015	1011121314
4	1	1	1	13	0	914	560	123	14	-1	
5	1	1	1	13	1	914	560	18	14	92.918762	05
5	1	1	1	13	2	940	560	19	14	93.112297	06
5	1	1	1	13	3	966	560	19	14	92.879616	07
5	1	1	1	13	4	992	560	19	14	93.107224	08
5	1	1	1	13	5	1018	560	19	14	92.131050	09
4	1	1	1	14	0	88	575	949	36	-1	
5	1	1	1	14	1	88	582	30	15	95.969353	an
5	1	1	1	14	2	266	577	55	24	92.290108	[art.]
5	1	1	1	14	3	337	575	47	24	96.979156	一
5	1	1	1	14	4	373	571	20	38	88.600082	個
5	1	1	1	14	5	396	592	4	7	88.600082	;
5	1	1	1	14	6	412	576	48	23	96.502609	一
5	1	1	1	14	7	444	571	20	38	94.455215	種
5	1	1	1	14	8	916	597	121	14	79.044746	1011121314
4	1	1	1	15	0	437	636	600	23	-1	
5	1	1	1	15	1	437	652	87	7	0.000000	oe
5	1	1	1	15	2	914	636	18	14	92.155067	05
5	1	1	1	15	3	940	636	19	14	92.155067	06
5	1	1	1	15	4	966	636	19	14	95.693459	07
5	1	1	1	15	5	992	636	19	14	89.032715	08
5	1	1	1	15	6	1018	636	19	14	89.032715	09
4	1	1	1	16	0	88	649	949	38	-1	
5	1	1	1	16	1	88	650	46	23	96.985863	and
5	1	1	1	16	2	266	649	71	35	91.290749	[conj.]
5	1	1	1	16	3	353	651	21	24	93.086563	和
5	1	1	1	16	4	387	656	4	19	89.639427	;
5	1	1	1	16	5	403	652	22	23	78.574249	及
5	1	1	1	16	6	437	668	4	7	77.977676	;
5	1	1	1	16	7	453	653	22	22	90.765862	而
5	1	1	1	16	8	488	656	3	19	91.133316	;
5	1	1	1	16	9	503	651	23	24	90.346634	就
5	1	1	1	16	10	916	673	40	14	86.621994	1011
5	1	1	1	16	11	968	673	69	14	80.682800	121314
4	1	1	1	17	0	914	712	123	14	-1	
5	1	1	1	17	1	910	697	22	39	92.918762	05
5	1	1	1	17	2	941	697	21	39	93.112297	06
5	1	1	1	17	3	968	697	20	39	92.879616	07
5	1	1	1	17	4	995	697	18	39	93.107224	08
5	1	1	1	17	5	1019	697	18	39	92.131050	09
